Harekeli Kelime;Kelime;Anlam
"مُعَصِّرٌ";"معصر";"Sıkan, presleyen"
"مِعْصَمٌ";"معصم";"Bilek"
"مَعْصِيَةٌ";"معصية";"İsyan, günah, karşı gelme"
"مُعْضَلَاتٌ";"معضلات";"Sorunlar, problemler, güçlükler"
"مُعْضِلَةٌ";"معضلة";"Çözülmesi zor sorun, problem, muamma"
"مَعْضُوضٌ";"معضوض";"Isırılmış, ısırılan"
"مِعْطَاءٌ";"معطاء";"Çok veren, cömert"
"مُعْطَاةٌ";"معطاة";"Verilen, bahşedilen, sunulan"
"مَعْطِسٌ";"معطس";"Burun, hapşırma yeri"
"مِعْطَفٌ";"معطف";"Palto, manto, ceket"
"مِعْطَفُهُ";"معطفه";"Onun paltosu"
"مُعَطَّلًا";"معطلا";"Engellenmiş, durdurulmuş, işlevsiz hale getirilmiş"
"مُعَطَّلَةٌ";"معطلة";"İşlemez, bozuk, durdurulmuş, iptal edilmiş"
"مَعْطُوفَانِ";"معطوفان";"Atfedilen iki şey, bağlanan iki şey"
"مُعْطًى";"معطى";"Verilen, bahşedilen"
"مُعْطَيَاتٌ";"مُعْطَيَات";"Veriler, bilgiler"
"مُعَظَّمٌ";"معظم";"Yüceltilmiş, saygıdeğer, büyük"
"مُعْظَمٌ";"معظم";"Çoğu, büyük kısmı, en büyük"
"مُعْظَمَ";"معظم";"çoğu, çoğu şey, en büyük, en yüce"
"مُعْظَمِ";"معظم";"Çoğu, çoğu şey, en büyük kısım"
"مُعْظَمُ الْوَقْتِ";"معظم الوقت";"Çoğu zaman, çoğu vakit"
"مُعْظَمُهَا";"معظمها";"Çoğu, çoğu kısmı"
"مُعْفًى مِنْ";"معفى من";"Muaf, bağışık"
"مُعَقِّبٌ";"معقب";"Takip eden, izleyen, arkadan gelen"
"مُعَقِّبَاتٌ";"معقبات";"Takip edenler, ardı sıra gelenler, peşi sıra gelenler"
"مَعْقَدٌ";"معقد";"Karmaşık, düğümlü, zor"
"مُعَقَّدٌ";"معقد";"Karmaşık, komplike"
"مَعْقِلٌ";"معقل";"Kale, sığınak, mevzi"
"مَعْقُوفٌ";"معقوف";"Kavisli, eğri, bükülmüş"
"مَعْقُولًا";"معقولا";"Makul, akla uygun"
"مَعْقُولَاتٌ";"معقولات";"Akla uygun şeyler, makuller"
"مَعَكَ";"معك";"Seninle, yanında"
"مَعَكِ";"مَعَكِ";"Seninle (dişil)"
"مَعْكَرُونَةٌ";"معكرونة";"Makarna"
"مَعْلٌ";"معل";"Belirti, işaret"
"مِعْلَاقٌ";"معلاق";"Askı, elbise askısı"
"مُعَلَّبَاتٌ";"معلبات";"Konserveler, kutulanmış yiyecekler"
"مَعْلِشْ";"معلش";"Boş ver, önemli değil, üzülme"
"مُعَلَّقٌ";"معلّق";"Asılı, askıda, ertelenmiş, yorumcu"
"مُعَلَّقَاةٌ";"معلقاة";"Asılmış şiirler, Muallakat"
"مُعَلَّقَةٌ";"معلقة";"Asılı, askıda olan, askıya alınmış"
"مَعْلَمٌ";"مَعْلم";"İşaret, alamet, anıt, abide, yer işareti"
"مَعْلَمٍ";"مَعْلَمٍ";"İşaret, alamet, anıt, simge, yer işareti"
"مُعَلِّمٌ";"معلم";"Öğretmen"
"مُعَلَّمٌ";"مُعلَّم";"Öğretilmiş, işaretlenmiş, belirlenmiş"
"مُعَلِّمٌ";"معلم";"Öğretmen, hoca"
"مُعَلِّمَاتٌ";"معلمات";"Bayan öğretmenler"
"مُعَلِّمَاتٍ";"معلمات";"Öğretmenler, bilgiler"
"مُعَلِّمَةٌ";"معلمة";"Bayan öğretmen"
"مُعَلِّمَتَانِ";"معلمتان";"İki kadın öğretmen"
"مُعَلِّمَكَ";"معلمك";"Senin öğretmenin"
"مُعَلِّمُو الصَّفِّ";"معلمو الصف";"Sınıf öğretmenleri"
"مُعَلِّمُونَ";"معلمون";"öğretmenler"
"مُعَلِّمُونَ";"معلمون";"Öğretmenler"
"مُعَلِّمِي";"مُعلِّمي";"Öğretmenim"
"مَعْلِيشْ";"معلوش";"Önemli değil, boş ver, sorun değil"
"مَعْلُولٌ";"معلول";"Hasta, sakat, kusurlu"
"مَعْلُومٌ";"مَعْلُومُ";"Bilinen, malum"
"مَعْلُومَاتٌ";"معلومات";"Bilgiler, enformasyon"
"مَعْلُومَاتٌ رَصِينَةٌ";"معلومات رصينة";"Sağlam bilgiler, güvenilir bilgiler"
"مَعْلُومَةٌ";"معلومة";"Bilgi"
"مَعْلُومَةٍ";"مَعْلُومَةٍ";"Bilgi, malumat"
"مِعْمَارٌ";"معمار";"Mimar"
"مُعَمَّرٌ";"معمر";"Muammer, uzun ömürlü, yaşlı"
"مُعَمِّرِينَ";"معمرين";"Uzun ömürlüler, yaşlılar"
"مَعْمَلٌ";"معمل";"Laboratuvar, fabrika, atölye"
"مَعْمُورَةٌ";"معمورة";"İmar edilmiş, şenlendirilmiş, bayındır"
"مَعْمُولَتَانِ";"مَعْمُولتَانِ";"Yapılmış iki şey, iki adet mamul"
"مَعَنَا";"معنا";"Bizimle, yanımızda"
"مَعْنَاةٌ";"معناة";"Anlam, mana"
"مَعْنَاهَا";"معناها";"Anlamı, manası"
"مُعَنْعَنٌ";"معنعن";"An'ane yoluyla rivayet edilen, senedinde an'ane lafzı bulunan hadis"
"مَعْنَوِيَّةٌ";"معنوية";"Maneviyat, moral"
"مَعَهُ";"معه";"Onunla birlikte, yanında"
"مَعَهَا";"مَعَهَا";"Onunla birlikte, onun yanında"
"مَعْهَدٌ";"معهد";"Enstitü, kurs yeri"
"مَعَهُمْ";"معهم";"Onlarla birlikte, yanlarında"
"مَعَهُمَا";"معهما";"İkisiyle birlikte"
"مَعْهُودٌ";"معهود";"Bilinen, alışılmış, mutat"
"مَعْهُودَةَ";"مَعْهُودَةَ";"alışılmış, bilinen, geleneksel"
"مُعَوَّذٌ";"معوذ";"Sığınan, korunan"
"مُعَوِّذَةٌ";"معوذة";"Sığınma duası, koruyucu dua"
"الْمُعَوِّذَتَيْنِ";"معوذتين";"Felak ve Nas sureleri"
"مُعَوَّضٌ";"معوض";"Tazmin edilmiş, telafi edilmiş"
"مُعَوَّقٌ";"معوق";"Engelli, sakat"
"مُعَوِّقَاتٌ";"معوقات";"Engeller, engellemeler, pürüzler"
"مِعْوَلٌ";"مِعْوَل";"Kazma, balta"
"مَعُونٌ";"مَعُونَ";"Yardım edilen, desteklenen"
"مَعُونَةٌ";"معونة";"Yardım, destek, yardım etme"
"مِعَوِيَّةٌ";"معوية";"Bağırsakla ilgili, bağırsak"
"مَعِي";"معي";"Benimle, yanımda"
"مِعْيَارٌ";"معيار";"Ölçüt, standart, kriter"
"مِعْيَارًا";"معياراً";"ölçüt, kriter, standart"
"مُعِيدٌ";"معيد";"Tekrar eden, iade eden, geri döndüren, asistan, öğretim görevlisi"
"مُعِيدِينَ";"معيدين";"Tekrar edenler, iade edenler, asistanlar"
"مَعِيشَةٌ";"معيشة";"Geçim, yaşayış, hayat"
"مُعِيقَةٌ";"معيقة";"Engelleyici, mani olan"
"مُعِيلٌ";"معيل";"Geçindiren, bakmakla yükümlü olan"
"مَعِينٌ";"مَعِينٌ";"Kaynak, pınar, akan su"
"مُعَيَّنٍ";"مُعَيَّنٍ";"Belirli, tayin edilmiş, atanmış"
"مُعِينٌ";"معين";"Yardımcı, destekleyici"
"مُعَيَّنًا";"معينا";"Belirlenmiş, tayin edilmiş, atanmış"
"مُعَيَّنَةٌ";"معينة";"Belirli, tayin edilmiş, atanmış"
"مُعَيَّنَةٍ";"معينة";"Belirli, tayin edilmiş, atanmış"
"مُعِينَةٌ";"معِينة";"Yardımcı olan, destekleyici"
"مُغَادَرَةٌ";"مغادرة";"Ayrılma, gitme, hareket etme"
"مُغَادَرَتُهُ";"مُغادَرته";"Onun ayrılışı, onun gidişi"
"مُغَادِرِينَ";"مغادرين";"Ayrılanlar, gidenler"
"مَغَارَةٌ";"مغارة";"Mağara, in"
"مُغَالَطَةٌ";"مغالصة";"Safsata, yanıltma, aldatma"
"مُغَامَرَاتٌ";"مغامرات";"Maceralar, serüvenler"
"مُغَامَرَةٌ";"مغامرة";"Macera, serüven"
"مَغَانِمُ";"مغانم";"Ganimetler, kazançlar"
"مُغَايِرٌ";"مغاير";"Farklı, aykırı, zıt"
"مُغَايَرَةٌ";"مغايرة";"Farklılık, aykırılık, zıtlık"
"مَغْبُونٌ";"مغبون";"Aldatılmış, zarara uğratılmış"
"مُغْتَابٌ";"مغتاب";"Gıybet eden, dedikoducu"
"مُغْتَدٍ";"مغتد";"Sabahleyin giden, sabahleyin yola çıkan"
"مُغْتَرِبٌ";"مغترب";"Gurbetçi, yabancı, sürgün"
"مُغْتَسَلٌ";"مغتسل";"Yıkanma yeri, banyo, çamaşırhane"
"مُغْدِقٌ";"مغدق";"Bol bol veren, cömert"
"مَغْرِبٌ";"مغرب";"Batı, akşam, Fas"
"مَغْرِبًا";"مغرباً";"Batıya doğru, akşam vakti"
"مَغْرِبِيٌّ";"مغربي";"Faslı, Fas'a ait"
"مَغْرِبِيَّانِ";"مغربيان";"İki Faslı, iki Batılı"
"مِغْرَفٌ";"مغرف";"Kepçe, kaşık"
"مِغْرَفَةٌ";"مِغْرَفَة";"Kepçe, kaşık"
"مُغْرَمٌ";"مغرم";"Aşık, tutkun, düşkün"
"مُغْرَمَةً";"مُغْرَمَةً";"Aşık, tutkun"
"مَغْرُورٌ";"مغرور";"Mağrur, kibirli, gururlu"
"مَغْرُوفٌ";"مغروف";"Kepçelenmiş, kepçeyle alınmış"
"مُغْرًى";"مغرى";"Cazip kılınmış, baştan çıkarılmış"
"مُغْرِيَاتٌ";"مغريات";"Cazibeler, çekicilikler, ayartmalar"
"مُغْرِيَةٌ";"مغرية";"Cazip, çekici, baştan çıkarıcı"
"مِغْزَلٌ";"مغزل";"İğ, çıkrık"
"مَغْزًى";"مغزى";"Anlam, mana, maksat, gaye"
"مَغْسَلٌ";"مغسل";"Yıkanma yeri, lavabo, çamaşırhane"
"مَغْسَلَةٌ";"مغسلة";"Lavabo, çamaşırhane"
"مَغْسُولٌ";"مغسول";"Yıkanmış, yıkanan"
"مَغَصٌ";"مغص";"Karın ağrısı, sancı, kolik"
"مَغْضُوبٌ";"مغضوب";"Gazaba uğramış, öfkelenilmiş"
"مَغْفِرٌ";"مغفر";"Mağfiret eden, bağışlayan"
"مَغْفِرَةٌ";"مَغْفِرَةٌ";"Bağışlama, affetme"
"مُغَفَّلُونَ";"مغفلون";"Aldatılmışlar, gafiller"
"مَغْفُورٌ";"مغفور";"Affedilmiş, bağışlanmış"
"مُغُلٌ";"مغل";"Moğol"
"مُغْلَقٌ";"مغلق";"Kapalı, kilitli"
"مُغْلَقًا";"مغلقا";"kapalı, kilitli"
"مُغْلَقَةٌ";"مغلقة";"Kapalı"
"مَغْلُوبٌ";"مغلوب";"Yenilmiş, mağlup edilmiş"
"مَغْلِيٌّ";"مغلي";"Kaynatılmış, haşlanmış"
"مَغْمُورٌ";"مغمور";"Meçhul, bilinmeyen, tanınmayan, gömülü, batık"
"مَغْمُوضَةٌ";"مغموضة";"Kapalı, belirsiz, muğlak"
"مَغْمُومَةٌ";"مغمومة";"Kederli, üzgün, tasalı"
"مُغْمًى";"مغمى";"Baygın, kendinden geçmiş"
"مَغْنَمٌ";"مغنم";"Kazanç, ganimet"
"مُغَنٍّ";"مغنى";"Şarkıcı, hanende"
"مُغَنِّي";"مغني";"Şarkıcı, okuyucu"
"مُغَنِّيَةٌ";"مغنية";"Şarkıcı, hanende"
"مُغُولٌ";"مغول";"Moğol"
"مَغُولِيٌّ";"مغولي";"Moğol, Moğolistan'a ait"
"مَغِيبٌ";"مغيب";"Batış, gurup, kaybolma yeri"
"مَغِيبِ";"مَغْيبِ";"Batış, güneşin batışı, kayboluş"
"مُغَيَّبَاتٌ";"مغيبات";"Gayb âlemine ait şeyler, bilinmeyenler, gizli şeyler"
"مُغِيثٌ";"مغيث";"Yardım eden, imdada yetişen, kurtarıcı"
"مُغَيِّرًا";"مغيرًا";"Değiştirerek, değiştiren olarak"
"مُغِيرَاتٌ";"مُغِيرات";"Akıncılar, baskın yapanlar"
"مُغَيِّمٌ";"مغيم";"Bulutlu, kapalı"
"مُغَيٍّ";"مغيي";"Değiştiren, değiştiren kişi"
"مَفَاتِحٌ";"مَفَاتِحٌ";"Anahtarlar, açacaklar"
"مَفَاتِيحُ";"مَفَاتِيحُ";"Anahtarlar"
"مُفَاجِئٌ";"مُفاجئ";"Şaşırtıcı, beklenmedik, ani"
"مُفَاجَأَةٌ";"مفاجاة";"Sürpriz, şaşırtma"
"مُفَاجَعَةٌ";"مفاجعة";"Şaşırtma, sürpriz yapma, beklenmedik bir şeyle karşılaşma"
"مُفَاخَرَةٌ";"مفاخرة";"Övünme, böbürlenme"
"مَفَادٌ";"مفاد";"İfade, anlam, mana, içerik"
"مُفَادَاةٌ";"مفاداة";"Fidye verme, kurtarma, feda etme"
"مَفَازَةٌ";"مفازة";"Çöl, tehlikeli yer, kurtuluş yeri, zafer"
"مَفَاسِدُ";"مفاسد";"Fesatlar, bozukluklar, zararlar"
"مَفَاصِلُ";"مفاصل";"Eklemler"
"مَفَاصِلِ";"مَفَاصِلِ";"Eklemler"
"مُفَاصَلَةٌ";"مفاصلة";"Ayrılma, kopma, ayrışma"
"مَفَاضِيلُ";"مفاضيل";"Faziletli, üstün, erdemli kişiler"
"مُفَاعِلٌ";"مفاعل";"Etken, fail, reaktör"
"مَفَاهِيمُ";"مفاهم";"Kavramlar, mefhumlar"
"مُفَاوَضَاتٌ";"مفاوضات";"Müzakereler, görüşmeler"
"مُفَاوَضَةٌ";"مفاوضة";"Müzakere etme, pazarlık etme"
"مِفْتَاحٌ";"مفتاح";"Anahtar"
"مِفْتَاحُ رَبْطٍ";"مفتاح ربط";"İngiliz anahtarı, kurbağacık"
"مُفَتَّحٌ";"مفتح";"Açılmış, açılan"
"مُفْتَرِسٌ";"مُفْتَرِسٌ";"Yırtıcı, avcı"
"مُفْتَرِسَةٌ";"مُفتَرِسة";"Yırtıcı, avcı"
"مُفْتَرِشَةٌ";"مفترشة";"Seren, yayan, döşeyen"
"مُفْتَرَضٍ";"مُفْتَرَضِ";"Farz edilen, varsayılan"
"مُفْتَرَقٌ";"مُفْتَرَقٌ";"Kavşak, yol ayrımı"
"مُفْتَرَقُ الطُّرُقِ";"مُفْتَرَقُ الطُّرُقِ";"Yol ayrımı, kavşak"
"مُفْتَرُونَ";"مفترون";"İftira edenler, yalan uyduranlar"
"مُفْتَنًا";"مفتنا";"Fitneye düşürülmüş, sınanmış"
"مَفْتُوحٌ";"مفتوح";"Açık, açılmış"
"مَفْتُوحًا";"مفتوحا";"Açık, açılmış"
"مَفْتُوحَةٌ";"مفتوحة";"Açık, açılmış"
"مُفْتُوحَةٌ";"مُفتوحةٌ";"açık, açılmış"
"مَفْتُوحَتَانِ";"مفتوحتان";"İki açık"
"مُفْتُولِيَّةٌ";"مفتولية";"Müftülük"
"مَفْتُونٌ";"مفتون";"Büyülenmiş, hayran kalmış, tutkun"
"مُفْتِي";"مفتي";"Fetva veren, müftü"
"مُفْجِعَةٌ";"مفجعة";"Acı veren, üzücü, felaket"
"مُفَخَّمٌ";"مفخّم";"Büyütülmüş, yüceltilmiş, kalın sesli harf"
"مَفَرٌّ";"مفر";"Kaçış, sığınak, çare"
"مُفْرِحَةٌ";"مفرحة";"Sevindirici, neşelendirici"
"مُفْرَدٌ";"مفرد";"Tekil, müfret, bireysel"
"مُفْرَدَاتٌ";"مفردات";"Kelimeler, sözcükler, kelime dağarcığı"
"مُفْرَدُهَا";"مفردها";"Onun tekili, onun müfredi"
"مِفْرَشٌ";"مِفْرَش";"Yatak örtüsü, örtü, yaygı"
"مُفْرِطٌ";"مفرط";"Aşırı, fazla, ifrat eden"
"مُفْرِطَةٌ";"مفرطة";"Aşırı, ifrat eden"
"مَفْرِقٌ";"مفرق";"Yol ayrımı, kavşak, saç ayrımı"
"مَفْرُوشٌ";"مفروش";"Döşenmiş, serilmiş, mobilyalı"
"مَفْرُوشَةٌ";"مفروشة";"Döşenmiş, mobilyalı"
"مَفْرُوشَاتٌ";"مفروشت";"Mobilyalar, döşemelik eşyalar"
"مَفْرُوضَانِ";"مَفْرُوضَانِ";"Farz kılınan iki şey, iki farz"
"مَفْرُوضَةٌ";"مفروضة";"Farz kılınmış, zorunlu kılınmış, varsayılan"
"مَفْرُوقٌ";"مفروق";"Ayrılmış, ayrık"
"مَفْرُوقَةٌ";"مفروقة";"Ayrılmış, ayrık, bölünmüş"
"مَفْرُوكٌ";"مفروك";"Ovuşturulmuş, ufalanmış"
"مَفْرُومٌ";"مفروم";"Kıyılmış, doğranmış"
"مَفْرُومَةٌ";"مفرومة";"Kıyılmış, doğranmış"
"مُفْزِعٌ";"مفزع";"Korkunç, ürkütücü, dehşet verici"
"مُفْزِعَةٌ";"مفزعة";"Korkutucu, ürkütücü"
"مُفْسِدٌ";"مُفْسِد";"Bozguncu, fesatçı, ifsat eden"
"مُفْسِدَاتٌ";"مفسدات";"Bozucular, fesat çıkaranlar, ifsat edenler"
"مُفْسِدَاتُ الصَّلَاةِ";"مفسدات الصلاة";"Namazı bozan şeyler"
"مَفْسَدَةٌ";"مفسدة";"Bozgunculuk, fesatlık, zarar veren şey"
"مُفْسِدُونَ";"مفسدون";"Bozgunculuk yapanlar, fesat çıkaranlar"
"مُفْسِدِينَ";"مفسدين";"Bozguncular, fesat çıkaranlar"
"مُفَسِّرٌ";"مفسر";"Tefsir eden, yorumlayan, müfessir"
"مُفَسِّرًا";"مفسرا";"yorumlayarak, açıklayarak"
"مَفْصَدَاتٌ";"مفصدات";"Fesat çıkaranlar, bozguncular, ifsat edenler"
"مَفْصَلٌ";"مفصل";"Eklem, mafsal"
"مُفَصَّلٍ";"مُفَصَّلٍ";"Detaylı, ayrıntılı"
"مُفَصَّلًا";"مفصلا";"Detaylı olarak, ayrıntılı bir şekilde"
"مَفْصَلِيَّةٌ";"مفصلية";"Mafsallı, eklemli, dönüm noktası niteliğinde"
"مَفْصُولٌ";"مفصول";"Ayrılmış, ayrılan, çıkarılmış"
"مُفْضٍ";"مفضٍ";"Ulaştıran, götüren, ileten, boşaltan, açığa çıkaran"
"مُفَضَّلٌ";"مُفَضَّلْ";"Tercih edilen, favori"
"مُفَضَّلَةٌ";"مفضلة";"Favori, tercih edilen"
"مُفْطِرٌ";"مفطر";"İftar eden, orucunu bozan"
"مُفْطِرَاتٌ";"مفطرات";"Orucu bozan şeyler"
"مَفْعَلَةٌ";"مفعلة";"Alet, araç, mekan"
"مُفْعَمٌ";"مفعم";"Dolu, dopdolu, taşmış"
"مُفْعَمَةٌ";"مفعمة";"Dolu, dopdolu, taşmış"
"مَفْعُولٌ";"مفعول";"Edilgen, yapılan, nesne, mef'ul"
"مَفْعُولٌ بِهِ";"مفعول به";"Nesne, tümleç"
"مَفْعُولِيَّةٌ";"مفعولية";"Mef'uliyet, nesnelik"
"مَفْقُودٌ";"مفقود";"Kayıp, yitik, eksik"
"مِفَكٌّ";"مفك";"Tornavida"
"مُفَكِّرٌ";"مفكر";"Düşünür, mütefekkir"
"مُفَكِّرُونَ";"مُفَكِّرُون";"Düşünürler"
"مُفَكِّرِينَ";"مفكرين";"Düşünürler, mütefekkirler"
"مُفْلِحٌ";"مفلح";"Başarılı olan, kurtuluşa eren"
"مُفْلِحُونَ";"مُفْلِحُونَ";"Kurtuluşa erenler, başarıya ulaşanlar, felaha erenler"
"مُفْلِسٌ";"مفلس";"İflas etmiş, beş parasız"
"مُفَلْطَحٌ";"مفلطح";"Yassı, basık"
"مَفْهُومٌ";"مفهوم";"Anlam, kavram, mefhum"
"مَفْهُومَةٌ";"مَفْهُومة";"Anlaşılan, kavranan, bilinen"
"مُفَوَّةٌ";"مفوة";"Yetkili kılınmış, vekil tayin edilmiş"
"مُفَوَّهٌ";"مُفَوَّه";"Güzel konuşan, beliğ, fasih"
"مَفُوهًا";"مفوها";"Fasih, güzel konuşan"
"مُفِيدٌ";"مفيد";"Faydalı, yararlı"
"مُفِيدًا";"مفيدا";"Faydalı, yararlı"
"مُفِيدَانِ";"مُفِيدان";"Faydalı olan iki şey veya iki kişi"
"مُفِيدَةٌ";"مُفِيدَتٌ";"Faydalı, yararlı"
"مُقَابَلٌ";"مقابل";"Karşılık, mukabel"
"مُقَابِلٌ";"مقابل";"Karşılık, karşı, karşısında"
"مُقَابَلَاتٌ";"مقابلات";"Mülakatlar, görüşmeler"
"مُقَابَلَةٌ";"مقابلة";"Karşılama, görüşme, mukabele"
"مُقَابَلَةِ";"مُقَابَلَةِ";"Görüşme, buluşma, röportaj"
"مُقَاتَلَةٌ";"مقاتلة";"Savaşma, mücadele etme, savaş uçağı"
"مَقَادِمُ";"مقادم";"Önler, öncüler, liderler"
"مَقَادِيرُ";"مَقادير";"Miktarlar, ölçüler, kaderler"
"مُقَارَبَاتٌ";"مقاربات";"Yaklaşımlar, yaklaşımlar"
"مُقَارَبَةٌ";"مقاربة";"Yaklaşım, yakınlaşma, mukayese"
"مُقَارَعَاتٌ";"مقارعات";"Tartışmalar, münazaralar, çekişmeler"
"مُقَارِنٌ";"مقارن";"Karşılaştıran, mukayese eden"
"مُقَارَنَةٌ";"مقارنة";"Karşılaştırma, kıyaslama"
"مَقَاسٌ";"مقاس";"Ölçü, boyut, ebat"
"مَقَاسٍ";"مَقاَسٍ";"Boyut, ölçü, ebat"
"مُقَاسَاةٌ";"مقاساة";"Katlanma, dayanma, çekme"
"مَقَاسُهَا";"مقاسها";"Onun bedeni, onun ölçüsü"
"مَقَاصِدُ";"مقاصد";"Amaçlar, hedefler, maksatlar"
"مَقَاطِعُ";"مقاطع";"Bölümler, kesitler, parçalar"
"مُقَاطَعَةٌ";"مقاطعة";"Boykot, ambargo, kesme, uzak durma"
"مَقَاعِدُ";"مقاعد";"Koltuklar, sandalyeler, oturaklar"
"مَقَاعِدُهُنَّ";"مقاعدهن";"Onların koltukları, onların sandalyeleri"
"مَقَالٌ";"مقال";"Makale, yazı"
"مَقَالًا";"مقالاً";"Makale, yazı"
"مُقَالَاةٌ";"مقالاة";"Karşılıklı konuşma, tartışma, münazara"
"مَقَالَاتٌ";"مقالات";"Makaleler, yazılar"
"مَقَالَةٍ";"مَقَالَتِ";"Makale, yazı"
"مَقَالَتِي";"مَقالَتِ";"Makalem, yazım"
"مَقَالَتُهُ";"مقالته";"Makalesi"
"مَقَالِدُ";"مَقَالِد";"Anahtarlar, hazineler, iktidar anahtarları"
"مُقَالَمَةٌ";"مقالمة";"Tartışma, münakaşa, çekişme"
"مَقَالِيٌّ";"مقالي";"Makaleye ait, makale ile ilgili"
"مَقَالِيدُ";"مَقَالِيد";"Anahtarlar, hazineler, iktidar, hükümranlık"
"مَقَامٌ";"مقام";"Makam, mevki, durulan yer, ikametgah"
"مَقَامُكَ";"مقامك";"Senin makamın, senin mevkiin"
"مَقَامَةٌ";"مقامه";"Makame, duruş, mevki, mertebe"
"مُقَامَةٌ";"مُقامه";"Makam, duruş, ikametgah, yer, mevki"
"مَقَاهِي";"مقاهي";"Kahveler, kafeler"
"مُقَاوِلٌ";"مُقاوِل";"Müteahhit, yüklenici"
"مُقَاوَمَةٌ";"مقاومة";"Direniş, karşı koyma, mukavemet"
"مُقَايَضَةٌ";"مقايضة";"Takas, değiş tokuş"
"مَقَايِيسُ";"مقاييس";"Ölçüler, standartlar, kriterler"
"مَقْبَرَةٌ";"مقبرة";"Mezarlık, kabristan"
"مِقْبَضٌ";"مِقْبَض";"Mandal, tutacak, kulp"
"مِقْبَضُ الْبَابِ";"مقبض الباب";"Kapı kolu"
"مُقْبِلٌ";"مقبل";"Gelen, yaklaşan, ilerideki"
"مُقَبِّلَاتٌ";"مقبلات";"Mezeler, iştah açıcılar"
"مُقْبِلَةٌ";"مقبلة";"Gelecek, sonraki, yaklaşan"
"مَقْبُوحًا";"مقبوحا";"Çirkinleştirilmiş, kötülenmiş"
"مَقْبُوحِينَ";"مَقْبُوحينَ";"Çirkinleştirilmişler, kötüleştirilmişler"
"مَقْبُوضٌ";"مقبوض";"Tutulmuş, alınmış, ele geçirilmiş"
"مَقْبُولٌ";"مقبول";"Kabul edilmiş, makbul"
"مَقْبُولَةٌ";"مقبولة";"Kabul edilmiş, makbul"
"مَقَتَ";"مقت";"Nefret etti, iğrendi"
"مَقْتًا";"مقتا";"Nefret, tiksinti, iğrenme"
"مُقْتَبَلٌ";"مقتبل";"Başlangıç, ilk dönem, gençlik çağı"
"مُقْتَدٍ";"مقتدي";"Uyan, tabi olan, örnek alan"
"مُقْتَدِينَ";"مقتدين";"Uyanlar, tabi olanlar, örnek alanlar"
"مُقْتَرِبَةٌ";"مقتربة";"Yaklaşan, yaklaşmakta olan"
"مُقْتَرَحٌ";"مقترح";"Öneri, teklif"
"مُقْتَرَحَاتٌ";"مقترحات";"Öneriler, teklifler"
"مُقْتَرِنٌ";"مقترن";"İlişkili, bağlantılı, eşlik eden"
"مُقْتَرِنٍ";"مُقْتَرِنٍ";"İlişik, bağlı, bitişik"
"مُقْتَصِدٌ";"مقتصد";"Tutumlu, iktisatlı"
"مُقْتَصِرَةٌ";"مقتصرة";"Sınırlı, kısıtlı"
"مُقْتَضٍ";"مقتض";"Gerektiren, icap eden"
"مُقْتَضًى";"مقتضا";"Gereklilik, icap, zorunluluk"
"مُقْتَضَىً";"مقتضي";"Gereklilik, icap, zorunluluk"
"مُقْتَضَيَاتٌ";"مقتضيات";"Gereklilikler, icaplar, zorunluluklar"
"مُقْتَضِيَةٌ";"مقتضية";"Gerektiren, icap ettiren"
"مُقْتَطَعَةٌ";"مقتطعة";"Kesilmiş, koparılmış, alıntı yapılmış"
"مُقْتَفٍ";"مقتف";"Takip eden, izleyen"
"مَقْتَلٌ";"مقتل";"Öldürme yeri, ölüm yeri, öldürülme"
"مَقْتَلَةٌ";"مقتلة";"Katliam, öldürme yeri"
"مُقْتَنَيَاتٌ";"مقتنات";"Edinilmiş şeyler, koleksiyonlar, değerli eşyalar"
"مُقْتَنِيَةٌ";"مقتنية";"Edinilmiş, sahip olunan, mülk edinilen"
"مَقْتُولٌ";"مقتول";"Öldürülmüş, katledilmiş"
"مِقْدَارٌ";"مقدار";"Miktar, ölçü, nicelik"
"مِقْدَامٌ";"مقدام";"Cesur, atılgan"
"مُقَدَّدٌ";"مقدّد";"Kurutulmuş, tuzlanmış et"
"مُقَدَّرٌ";"مقدر";"Takdir edilmiş, belirlenmiş, kader"
"مَقْدِرَةٌ";"مقدرة";"Yetenek, güç, iktidar"
"مُقَدَّسٌ";"مقدس";"Kutsal, mukaddes"
"مُقَدَّسَةٌ";"مقدسة";"Kutsal, mukaddes"
"مُقَدَّمٌ";"مُقَدَّم";"Sunulan, takdim edilen, öne sürülen"
"مُقَدِّمَةٌ";"مقدمة";"Giriş, önsöz, başlangıç"
"مَقْدُونِسٌ";"مقدونس";"Maydanoz"
"مَقْدُونِسْ";"مَقْدُونِسْ";"Maydanoz"
"مَقَرٌّ";"مقر";"Karargah, merkez, yerleşim yeri"
"مَقَرًّا";"مقرا";"Karargah, merkez, yerleşim yeri"
"مَقْرَبَةٌ";"مقربة";"Yakınlık, akrabalık"
"مُقَرَّبُونَ";"مقربون";"Yakın olanlar, yakınlaştırılmışlar"
"مُقَرَّرٌ";"مقرر";"Kararlaştırılmış, belirlenmiş, tayin edilmiş"
"مِقْرَعَةٌ";"مقرعة";"Tokmak, çekiç, sopa"
"مُقْرِفٌ";"مقرف";"İğrenç, tiksindirici"
"مُقَرْمَشٌ";"مقرمش";"çıtır, gevrek"
"مَقَرُّهُ";"مقرّه";"Onun karargahı, onun merkezi"
